"time","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
9.06527777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,96,93,106,99,106,89,83,89,87,NA,NA,NA,NA,NA,NA,102,110,105,92,89,90,NA,NA,14,101,110,112,125,128,130,52,51,51,NA,NA,NA,NA,NA,NA,98,85,84,60,47,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.32972222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,95,93,107,100,107,91,82,89,87,NA,NA,NA,NA,NA,NA,102,111,106,93,90,91,NA,NA,15,101,113,113,127,129,131,52,51,52,NA,NA,NA,NA,NA,NA,97,87,85,61,48,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.59388888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,97,93,107,100,106,91,84,90,89,NA,NA,NA,NA,NA,NA,102,112,107,92,90,90,NA,NA,14,102,113,115,128,130,130,53,52,52,NA,NA,NA,NA,NA,NA,98,87,86,62,47,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.85833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,97,94,108,101,108,91,83,91,89,NA,NA,NA,NA,NA,NA,103,112,107,92,90,92,NA,NA,14,102,113,115,129,130,132,53,52,54,NA,NA,NA,NA,NA,NA,99,87,86,61,47,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,98,95,110,102,109,92,85,91,89,NA,NA,NA,NA,NA,NA,103,113,108,93,91,91,NA,NA,15,103,113,115,129,132,132,54,53,53,NA,NA,NA,NA,NA,NA,99,87,86,61,48,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3869444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,98,96,110,103,109,93,85,92,90,NA,NA,NA,NA,NA,NA,104,114,109,94,92,92,NA,NA,15,103,115,116,130,131,134,54,53,54,NA,NA,NA,NA,NA,NA,100,87,87,61,47,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.6513888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,100,96,110,103,110,93,86,93,91,NA,NA,NA,NA,NA,NA,104,114,109,94,91,93,NA,NA,15,104,115,115,129,132,135,54,54,55,NA,NA,NA,NA,NA,NA,101,89,87,62,48,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.9155555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,101,97,111,103,112,94,87,93,92,NA,NA,NA,NA,NA,NA,105,115,109,95,92,93,NA,NA,15,104,114,117,131,134,135,54,54,55,NA,NA,NA,NA,NA,NA,101,89,88,63,48,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,101,98,112,104,112,95,87,94,92,NA,NA,NA,NA,NA,NA,105,115,110,96,93,93,NA,NA,15,104,115,117,131,134,137,55,54,55,NA,NA,NA,NA,NA,NA,102,89,89,63,49,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.4441666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,101,98,113,105,113,94,88,95,93,NA,NA,NA,NA,NA,NA,106,116,110,96,94,95,NA,NA,14,104,116,117,133,135,137,55,55,54,NA,NA,NA,NA,NA,NA,102,89,88,63,49,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
